,X_i*,Cost,Global Cost
0,[ 3.36120674 18.10077291  5.57646936  1.31046368 -6.33862574],7849.485567503078,205.96409629810356
1,[ 6.80534812 10.85058841  8.7190611   1.13203434 -7.98797082],8202.27677776236,152.579618983331
